search_value,author_username,username,follower_count,following_count,like_count,author_details_info.followingCount,author_details_info.followerCount,author_details_info.heartCount,author_details_info.videoCount,author_details_info.diggCount,author_details_info.heart,video_url,video_caption,video_details_info.diggCount,video_details_info.shareCount,video_details_info.commentCount,video_details_info.playCount,video_details_info.collectCount
beautiful destinations,I am Brazil supporter,i.am.brazil.suppo5,15900,33,487800,33,15900,487800,80,50700,487800,https://www.tiktok.com/@i.am.brazil.suppo5/video/7398782356896681234,স্বপ্নের দেশ greece 🇬🇷🇬🇷👉🇯🇵🇯🇵👈✈️,3768,70,64,40000,251
beautiful destinations,ཌ◤♛◥དOviཌ◤♛◥ད,alxovi3,315,31,2402,31,315,2402,23,15800,2402,https://www.tiktok.com/@alxovi3/video/7378816830556720401,Beautiful Switzerland🇨🇭 #foryou #foryoupage #trendingvideo #edit #trending #fy #fyp #switzerland #naturalbeauty #beautyofswitzerland #visitswitzerland #swiss #iloveswitzerland #switzerland🇨🇭 #switzerlandnature #switzerlandtravel ,2149,291,0,40800,173
beautiful destinations,Travelizo 🇧🇩,travelizo.abss,20,4,329,4,20,329,42,22,329,https://www.tiktok.com/@travelizo.abss/video/7402992036669885714,জায়গাটা সুন্দর না?! 🥰 #switzerland #beautiful #destination #travelizo ,94,37,2,4368,9
beautiful destinations,ROMAN CHAUDHURY,romanchaudhury88,465,127,12500,127,465,12500,155,717,12500,https://www.tiktok.com/@romanchaudhury88/video/7300997232055094529,most Beautiful country Switzerland 🌿 Inshallah one day😫,1068,312,18,35600,101
beautiful destinations,Za🐝na,eccendentesiast_._,135,21,2132,21,135,2132,32,420,2132,https://www.tiktok.com/@eccendentesiast_._/video/7340736048806350087,Kashmir in Winter ❄️🌨️ Snowfall made the trip more beautiful though couldn't visit some places because of it ☃️                                                                                                                                                                         #kashmir #winterwonderland #travel #jammukashmir #snowfall #explore #travelkashmir #travelling #heavenonearth #kashmirinwinters #gulmarg #sonmarg #betabvalley #fyp,631,167,17,35600,95
beautiful destinations,MehRaf Binte Meher,mjmehraf,4569,397,13200,397,4569,13200,226,9325,13200,https://www.tiktok.com/@mjmehraf/video/7418504065895648519,নারী কি প্রকৃতির রূপের চেয়ে ও বেশি রুপশী? #প্রকৃতি #Viral #beautifuldestinations #plzviral🥺🥺🙏🙏foryoupage #plzunfrezemyaccount #fypシ #mjmehraf #Trend #photography @TikTok Bangladesh ,82,3,10,420,7
beautiful destinations,dream saudi Arabia  🇸🇦🇮🇹,khairulbhuiyan02,104800,56,3300000,56,104800,3300000,865,14300,3300000,https://www.tiktok.com/@khairulbhuiyan02/video/7387224329596980487,"Portugal, MadeiraSee Madeira from a drone’s perspective! Discover the island’s stunning landscapes f... 🇵🇹🇵🇹🇵🇹🇵🇹🇵🇹🇵🇹🇵🇹🇦🇹🇪🇺🇪🇺🇪🇺🇪🇺🇪🇺🇪🇺🇨🇭🇨🇭🇨🇭🇮🇹🇮🇹#vairal #swtzerland🇨🇭 #inshallah #ইতালি🇧🇩✔🇮🇹 #biman_lover✈️✈️ #france🇫🇷 #grcce🇬🇷 #portogal🇵🇹 #foryou #foryoupage ",34700,301,249,322500,1758
beautiful destinations,Ashraful Arefin,monsieur_arefin,70400,187,1200000,187,70400,1200000,237,2474,1200000,https://www.tiktok.com/@monsieur_arefin/video/7061436382807461147,One of the most beautiful roads I have been to #fyp #travel #foryou #roadtrip,12200,3602,108,296400,909
beautiful destinations,Shamim Mahmud,shamimmahmud38,2024,30,32800,30,2024,32800,64,331,32800,https://www.tiktok.com/@shamimmahmud38/video/7391148494968474896,অপরুপ সুন্ধর এবং মনোমুগ্ধকর একটি রিসোর্ট.... জংগল বাড়ি ম্যানগ্রোভ রিসোর্ট  #sundhorbon #Resort #highlight #foryou ,21200,2092,273,586300,2740
beautiful destinations,MD shajib Bhuiyan,mdshajibbhuiyan302,33000,21,769400,21,33000,769400,343,1900,769400,https://www.tiktok.com/@mdshajibbhuiyan302/video/7331312882061298962,"৩০০ ফুট এর উপর দিয়ে এয়ারপোর্ট যাচ্ছি,#foryou #beautifuldestinations #foryourpage❤️❤️❤️🛬✈️🛫🇧🇩🇱🇷 ",69,1,3,453,6
